"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"14.01.2017 19:00 - 14.01.2017 20:00","8587","7780"
"14.01.2017 20:00 - 14.01.2017 21:00","7987","7536"
"14.01.2017 21:00 - 14.01.2017 22:00","7887","7178"
"14.01.2017 22:00 - 14.01.2017 23:00","7890","7063"
"14.01.2017 23:00 - 15.01.2017 00:00","7775","7091"
"15.01.2017 00:00 - 15.01.2017 01:00","7614","7154"
"15.01.2017 01:00 - 15.01.2017 02:00","7971","7319"
"15.01.2017 02:00 - 15.01.2017 03:00","7796","7446"
"15.01.2017 03:00 - 15.01.2017 04:00","7857","7365"
"15.01.2017 04:00 - 15.01.2017 05:00","7519","7272"
"15.01.2017 05:00 - 15.01.2017 06:00","7829","7059"
"15.01.2017 06:00 - 15.01.2017 07:00","7796","7067"
"15.01.2017 07:00 - 15.01.2017 08:00","7788","6983"
"15.01.2017 08:00 - 15.01.2017 09:00","7747","6933"
"15.01.2017 09:00 - 15.01.2017 10:00","7955","7126"
"15.01.2017 10:00 - 15.01.2017 11:00","7882","7403"
"15.01.2017 11:00 - 15.01.2017 12:00","7602","7395"
"15.01.2017 12:00 - 15.01.2017 13:00","7800","7410"
"15.01.2017 13:00 - 15.01.2017 14:00","7830","7595"
"15.01.2017 14:00 - 15.01.2017 15:00","7589","7500"
"15.01.2017 15:00 - 15.01.2017 16:00","7747","7422"
"15.01.2017 16:00 - 15.01.2017 17:00","7601","7396"
"15.01.2017 17:00 - 15.01.2017 18:00","7944","7586"
"15.01.2017 18:00 - 15.01.2017 19:00","8271","7653"
"15.01.2017 19:00 - 15.01.2017 20:00","8180","7748"
"15.01.2017 20:00 - 15.01.2017 21:00","7946","7630"
"15.01.2017 21:00 - 15.01.2017 22:00","8044","7484"
"15.01.2017 22:00 - 15.01.2017 23:00","8046","7655"
"15.01.2017 23:00 - 16.01.2017 00:00","8351","7544"
"16.01.2017 00:00 - 16.01.2017 01:00","8161","7408"
"16.01.2017 01:00 - 16.01.2017 02:00","8016","7598"
"16.01.2017 02:00 - 16.01.2017 03:00","8027","7526"
"16.01.2017 03:00 - 16.01.2017 04:00","8098","7476"
"16.01.2017 04:00 - 16.01.2017 05:00","8040","7537"
"16.01.2017 05:00 - 16.01.2017 06:00","8296","7433"
"16.01.2017 06:00 - 16.01.2017 07:00","8363","7584"
"16.01.2017 07:00 - 16.01.2017 08:00","9838","8067"
"16.01.2017 08:00 - 16.01.2017 09:00","9927","8374"
"16.01.2017 09:00 - 16.01.2017 10:00","9927","8803"
"16.01.2017 10:00 - 16.01.2017 11:00","9929","8886"
"16.01.2017 11:00 - 16.01.2017 12:00","9938","8914"
"16.01.2017 12:00 - 16.01.2017 13:00","10058","8799"
"16.01.2017 13:00 - 16.01.2017 14:00","9824","8600"
"16.01.2017 14:00 - 16.01.2017 15:00","9773","8646"
"16.01.2017 15:00 - 16.01.2017 16:00","9657","8529"
"16.01.2017 16:00 - 16.01.2017 17:00","9704","8467"
"16.01.2017 17:00 - 16.01.2017 18:00","9822","8497"
"16.01.2017 18:00 - 16.01.2017 19:00","9890","8681"
"16.01.2017 19:00 - 16.01.2017 20:00","9723","8788"
"16.01.2017 20:00 - 16.01.2017 21:00","9616","8513"
"16.01.2017 21:00 - 16.01.2017 22:00","8885","8066"
"16.01.2017 22:00 - 16.01.2017 23:00","8792","7779"
"16.01.2017 23:00 - 17.01.2017 00:00","8749","7679"
"17.01.2017 00:00 - 17.01.2017 01:00","8332","7533"
"17.01.2017 01:00 - 17.01.2017 02:00","7789","7515"
"17.01.2017 02:00 - 17.01.2017 03:00","7771","7741"
"17.01.2017 03:00 - 17.01.2017 04:00","7764","7579"
"17.01.2017 04:00 - 17.01.2017 05:00","7740","7856"
"17.01.2017 05:00 - 17.01.2017 06:00","7736","7738"
"17.01.2017 06:00 - 17.01.2017 07:00","7925","7549"
"17.01.2017 07:00 - 17.01.2017 08:00","9330","7874"
"17.01.2017 08:00 - 17.01.2017 09:00","9819","8623"
"17.01.2017 09:00 - 17.01.2017 10:00","9817","9031"
"17.01.2017 10:00 - 17.01.2017 11:00","9817","9093"
"17.01.2017 11:00 - 17.01.2017 12:00","9816","9166"
"17.01.2017 12:00 - 17.01.2017 13:00","9736","9020"
"17.01.2017 13:00 - 17.01.2017 14:00","9758","8847"
"17.01.2017 14:00 - 17.01.2017 15:00","9751","8947"
"17.01.2017 15:00 - 17.01.2017 16:00","9612","8806"
"17.01.2017 16:00 - 17.01.2017 17:00","9677","8735"
"17.01.2017 17:00 - 17.01.2017 18:00","9752","8753"
"17.01.2017 18:00 - 17.01.2017 19:00","9817","8889"
"17.01.2017 19:00 - 17.01.2017 20:00","9598","9030"
"17.01.2017 20:00 - 17.01.2017 21:00","9229","8745"
"17.01.2017 21:00 - 17.01.2017 22:00","8697","8293"
"17.01.2017 22:00 - 17.01.2017 23:00","8485","8014"
"17.01.2017 23:00 - 18.01.2017 00:00","8097","7944"
"18.01.2017 00:00 - 18.01.2017 01:00","7784","7766"
"18.01.2017 01:00 - 18.01.2017 02:00","7968","7699"
"18.01.2017 02:00 - 18.01.2017 03:00","7961","7814"
"18.01.2017 03:00 - 18.01.2017 04:00","7961","7813"
"18.01.2017 04:00 - 18.01.2017 05:00","7869","7750"
"18.01.2017 05:00 - 18.01.2017 06:00","7870","7611"
"18.01.2017 06:00 - 18.01.2017 07:00","8460","7609"
"18.01.2017 07:00 - 18.01.2017 08:00","9274","8148"
"18.01.2017 08:00 - 18.01.2017 09:00","9754","8958"
"18.01.2017 09:00 - 18.01.2017 10:00","9734","9414"
"18.01.2017 10:00 - 18.01.2017 11:00","9718","9441"
"18.01.2017 11:00 - 18.01.2017 12:00","9910","9533"
"18.01.2017 12:00 - 18.01.2017 13:00","9860","9399"
"18.01.2017 13:00 - 18.01.2017 14:00","9529","9246"
"18.01.2017 14:00 - 18.01.2017 15:00","8967","9244"
"18.01.2017 15:00 - 18.01.2017 16:00","8968","9120"
"18.01.2017 16:00 - 18.01.2017 17:00","8684","9058"
"18.01.2017 17:00 - 18.01.2017 18:00","9931","9095"
